variant,seed,agent_steps,train_return,eval_return,eval_std,success_rate,mean_length,action_diversity,coverage_rate,assignment_cost,task_score,actor_loss,critic_loss,entropy,approx_kl
shared,142,0,,-48.44715469407238,80.57457290017804,0.85,41.05,0.8037180517692025,0.9,0.7944611191749573,93.20553888082505,,,,
shared,142,6244,-6.957993887040926,-35.0939422880511,51.30102092665935,0.95,29.75,0.7968852050727051,0.975,0.734671626985073,104.01532837301492,0.015293141516546408,79.82053883870442,1.3730032344659169,0.0034276714626078806
shared,142,10872,12.33014071919024,-19.682369196433953,14.646795013151028,1.0,16.8,0.760233558838822,1.0,0.6806260794401169,109.31937392055988,0.006934654122839372,78.98348744710286,1.3724792102972667,0.0013041526399319991
shared,142,15532,9.531085911724302,-19.76455751303827,13.979910685712042,1.0,17.3,0.790070866404001,1.0,0.6659385949373245,109.33406140506267,-0.0053009723002711935,70.8657964070638,1.224665214618047,0.0014108001050772145
shared,142,20062,15.549565716087818,-21.165522205303294,16.7853239232538,1.0,18.3,0.7492995079572446,1.0,0.6917977064847947,109.30820229351521,-0.0009500101829568545,77.78687879774306,1.1773296859529283,0.0005497435987409619
shared,142,26230,11.358034415464653,-35.24003452449371,57.36985677003541,0.95,28.4,0.7305105854624452,0.975,0.7405181214213371,104.00948187857867,-0.004934600761367215,71.39165835910373,1.2310722668965657,0.002023721201112494
shared,142,30838,11.32162908050749,-26.98550114400239,42.33025463194434,1.0,21.8,0.6963528874762068,1.0,0.7012373939156532,109.29876260608435,-0.005094211703787248,47.46688143412272,1.1891389588514965,0.00031047181376682903
shared,142,35406,15.930647272236493,-20.35834376120087,17.15247020348136,1.0,17.85,0.6841784071485235,1.0,0.7163657665252685,109.28363423347473,-5.34195245967971e-05,59.08364020453559,1.1781980593999226,0.00010920135739272356
shared,142,40056,15.503647978305816,-30.068372531500934,52.63912614776961,1.0,23.65,0.717581344094502,1.0,0.7357805132865906,109.26421948671342,-0.0008469442319538859,47.61108059353299,1.163416200213962,7.803984448805243e-05
shared,142,46170,13.511790360465195,-29.628700646706555,51.665410820168724,1.0,23.0,0.6709423355132003,1.0,0.6821188345551491,109.31788116544485,-0.0007360135205090046,26.80769199795193,1.2795880900488958,2.239182913399418e-05
shared,142,50690,18.539440948963165,-22.766523979456917,28.398134076327935,1.0,18.6,0.6758960757179905,1.0,0.7415913745760918,109.25840862542391,0.0005825934414234427,34.71666378445096,1.1696293089124892,4.440699558472261e-05
shared,254,0,,-29.28959056266722,40.57800798385898,1.0,28.4,0.7321462782687028,1.0,0.68038330078125,109.31961669921876,,,,
shared,254,5362,-10.855584595884595,-14.111576968636347,11.205499426206952,1.0,12.25,0.7353779921059334,1.0,0.7094506472349167,109.29054935276508,-0.0020204433628047505,89.88590431213379,1.4011334379514058,0.0013600697105478805
shared,254,10212,6.489070184804775,-12.948520588691858,10.230404970438787,1.0,11.15,0.7076632515735215,1.0,0.6623880565166473,109.33761194348335,-0.0269377096168076,107.14947255452473,1.3480351567268372,0.002440589635322491
shared,254,16506,4.8294719358285265,-23.61774705511136,44.476716545842976,0.95,21.5,0.727241935483871,0.975,0.6886635646224022,104.0613364353776,-0.0007447285784615411,104.14112599690755,1.312401016553243,0.00041400640475330874
shared,254,21146,16.85014294309819,-14.920803003511097,17.941500677322914,1.0,12.1,0.7193653993855607,1.0,0.679723271727562,109.32027672827243,0.011332250200212002,130.08840306599936,1.1990472277005513,0.000976733333421483
shared,254,25720,16.141761533311897,-20.79461196536736,33.375730297491096,1.0,16.0,0.6858611976259035,1.0,0.6718258559703827,109.32817414402962,-0.0007822463392383523,91.79731580946181,1.2603836589389377,0.0005452138583576825
shared,254,30276,16.649621223625928,-19.709077386833705,29.695658455266297,1.0,15.0,0.6580178815712332,1.0,0.7024968922138214,109.29750310778618,-0.0006085232210656007,99.7620112101237,1.1407334009806316,0.00039010322507238016
shared,254,36340,16.17651814789999,-27.70329400562856,56.61701303143516,1.0,21.6,0.6928515896530603,1.0,0.6896701753139496,109.31032982468605,-0.00023744472612937292,74.81733025444879,1.1966755655076768,0.00013898647779973948
shared,254,41296,16.51865772449452,-28.23469415406358,66.54467001008835,0.95,20.7,0.6671257073679675,0.975,0.7204246714711189,104.02957532852888,0.0034795068204402924,65.49630037943523,1.2240316271781921,0.0002507252509834264
shared,254,45922,18.407007616545474,-26.62000772193857,53.89500624095058,1.0,19.45,0.6421093993725573,1.0,0.7415245592594146,109.25847544074058,-0.00011235247883531783,71.7450688680013,1.1555802557203505,4.922395308110734e-05
shared,254,50536,19.416578768600118,-29.878786513124147,67.22365735497203,0.95,22.05,0.6348036522301228,0.975,0.7549496799707412,103.99505032002926,2.2053770307037565e-05,67.14417436387804,1.1414661010106404,4.780075444917505e-05
shared_id,142,0,,-49.38999255268193,82.34427789205192,0.9,38.2,0.7921100246686673,0.95,0.8174693822860718,98.68253061771392,,,,
shared_id,142,6296,3.162564603181986,-20.234592824922508,17.147615760822497,1.0,17.35,0.7175989739140702,1.0,0.7457520455121994,109.2542479544878,-0.00244110357016325,114.95141855875652,1.3702566888597276,0.002060939082487797
shared_id,142,10916,8.220514257108011,-21.46052792096733,19.237652569575694,1.0,17.25,0.7241179418750946,1.0,0.7129333138465881,109.28706668615341,0.1188637704278032,114.72312211990356,1.3462204734484355,0.0038684406123744943
shared_id,142,15596,2.6075618820531026,-30.29276306354067,48.485627290502386,0.95,25.7,0.7114273204135857,0.975,0.7452800035476684,104.00471999645234,-0.013389395627503594,101.25911903381348,1.335508753856023,0.002398244289603705
shared_id,142,20276,14.812795273959637,-22.0375957120324,21.328658544849382,1.0,17.8,0.6918637031056664,1.0,0.7346378237009048,109.26536217629909,-0.018344115077828366,125.40581639607747,1.3011076052983601,0.001567770497786114
